"Name
","Developer
","Initial release
","Latest release
","Programming language
","Cost (US$)
","License
","GUI
","TUI or CLI
"
"Version
","Date
"
"Acme
","Rob Pike
","1993
","Plan 9 and Inferno
","
","C
","No cost
","MITGPL-2.0-onlyLPL-1.02
","
","
"
